video,completion_frame,time,status,prob,peak_flow,baseline_flow,motion_ratio
training video 70 11-18.mp4,9522,2:38:700,HIT,0.921,297.5611,163.6251,1.819
training video 70 11-18.mp4,9542,2:39:033,HIT,0.834,297.5611,163.6251,1.819
training video 70 11-18.mp4,10203,2:50:050,HIT,0.971,262.0101,163.6251,1.601
training video 70 11-18.mp4,12715,3:31:917,HIT,0.971,484.3877,163.6251,2.96
training video 70 11-18.mp4,12768,3:32:800,HIT,0.946,332.3524,163.6251,2.031
training video 70 11-18.mp4,12789,3:33:150,HIT,0.862,350.6162,163.6251,2.143
training video 70 11-18.mp4,13344,3:42:400,HIT,0.963,358.2437,163.6251,2.189
training video 70 11-18.mp4,13492,3:44:867,HIT,0.88,251.2604,163.6251,1.536
training video 70 11-18.mp4,13621,3:47:017,HIT,0.81,433.844,163.6251,2.651
training video 70 11-18.mp4,13698,3:48:300,HIT,0.951,320.9033,163.6251,1.961
training video 70 11-18.mp4,15621,4:20:350,HIT,0.922,520.3445,163.6251,3.18
training video 70 11-18.mp4,15955,4:25:917,HIT,0.947,294.6888,163.6251,1.801
training video 70 11-18.mp4,15997,4:26:617,HIT,0.951,259.3758,163.6251,1.585
training video 70 11-18.mp4,16858,4:40:967,HIT,0.837,270.8854,163.6251,1.656
training video 70 11-18.mp4,17624,4:53:733,HIT,0.93,477.8521,163.6251,2.92
training video 70 11-18.mp4,17920,4:58:667,HIT,0.958,314.189,163.6251,1.92
training video 70 11-18.mp4,18001,5:00:017,HIT,0.877,362.5444,163.6251,2.216
training video 70 11-18.mp4,18023,5:00:383,HIT,0.92,333.7012,163.6251,2.039
training video 70 11-18.mp4,18131,5:02:183,HIT,0.936,335.5217,163.6251,2.051
training video 70 11-18.mp4,18154,5:02:567,HIT,0.832,287.6169,163.6251,1.758
training video 70 11-18.mp4,18246,5:04:100,HIT,0.943,277.3526,163.6251,1.695
training video 70 11-18.mp4,19014,5:16:900,HIT,0.964,280.8785,163.6251,1.717
training video 70 11-18.mp4,19067,5:17:783,HIT,0.907,288.6664,163.6251,1.764
training video 70 11-18.mp4,19098,5:18:300,HIT,0.924,348.1457,163.6251,2.128
training video 70 11-18.mp4,20164,5:36:067,HIT,0.851,410.5876,163.6251,2.509
training video 70 11-18.mp4,20229,5:37:150,HIT,0.911,334.2253,163.6251,2.043
training video 70 11-18.mp4,20259,5:37:650,HIT,0.948,319.927,163.6251,1.955
training video 70 11-18.mp4,20355,5:39:250,HIT,0.967,375.705,163.6251,2.296
training video 70 11-18.mp4,20413,5:40:217,HIT,0.916,398.8105,163.6251,2.437
training video 70 11-18.mp4,21193,5:53:217,HIT,0.853,377.7599,163.6251,2.309
training video 70 11-18.mp4,21214,5:53:567,MISS,0.148,392.4066,163.6251,2.398
training video 70 11-18.mp4,21340,5:55:667,HIT,0.963,300.1276,163.6251,1.834
training video 70 11-18.mp4,21383,5:56:383,HIT,0.954,379.047,163.6251,2.317
training video 70 11-18.mp4,21404,5:56:733,HIT,0.792,379.047,163.6251,2.317
training video 70 11-18.mp4,22025,6:07:083,HIT,0.965,347.2857,163.6251,2.122
training video 70 11-18.mp4,22829,6:20:483,HIT,0.865,782.9855,163.6251,4.785
training video 70 11-18.mp4,22870,6:21:167,HIT,0.754,679.5533,163.6251,4.153
training video 70 11-18.mp4,23561,6:32:683,HIT,0.913,520.3384,163.6251,3.18
training video 70 11-18.mp4,23744,6:35:733,HIT,0.966,395.58,163.6251,2.418
training video 70 11-18.mp4,23812,6:36:867,HIT,0.944,386.2019,163.6251,2.36
training video 70 11-18.mp4,23874,6:37:900,HIT,0.95,398.164,163.6251,2.433
training video 70 11-18.mp4,24863,6:54:383,HIT,0.92,342.0349,163.6251,2.09
training video 70 11-18.mp4,25195,6:59:917,HIT,0.928,318.9763,163.6251,1.949
training video 70 11-18.mp4,25236,7:00:600,HIT,0.902,335.8354,163.6251,2.052
training video 70 11-18.mp4,26200,7:16:667,HIT,0.93,315.6648,163.6251,1.929
training video 70 11-18.mp4,26250,7:17:500,HIT,0.756,474.8328,163.6251,2.902
training video 70 11-18.mp4,27160,7:32:667,HIT,0.826,404.3581,163.6251,2.471
training video 70 11-18.mp4,27381,7:36:350,HIT,0.974,307.0712,163.6251,1.877
training video 70 11-18.mp4,27412,7:36:867,HIT,0.273,483.2215,163.6251,2.953
training video 70 11-18.mp4,27605,7:40:083,HIT,0.874,533.2719,163.6251,3.259
training video 70 11-18.mp4,28119,7:48:650,HIT,0.899,371.4161,163.6251,2.27
training video 70 11-18.mp4,29572,8:12:867,HIT,0.96,366.8864,163.6251,2.242
training video 70 11-18.mp4,30464,8:27:733,HIT,0.805,314.8725,163.6251,1.924
training video 70 11-18.mp4,31260,8:41:000,HIT,0.894,444.9391,163.6251,2.719
training video 70 11-18.mp4,31435,8:43:917,HIT,0.814,509.4048,163.6251,3.113
training video 70 11-18.mp4,31501,8:45:017,HIT,0.946,477.6454,163.6251,2.919
training video 70 11-18.mp4,31527,8:45:450,MISS,0.336,442.8005,163.6251,2.706
training video 70 11-18.mp4,32250,8:57:500,HIT,0.851,467.398,163.6251,2.857
training video 70 11-18.mp4,32308,8:58:467,HIT,0.895,410.2266,163.6251,2.507
training video 70 11-18.mp4,32336,8:58:933,HIT,0.718,471.3063,163.6251,2.88
training video 70 11-18.mp4,32974,9:09:567,HIT,0.874,407.6903,163.6251,2.492
training video 70 11-18.mp4,33061,9:11:017,HIT,0.957,376.5093,163.6251,2.301
training video 70 11-18.mp4,33127,9:12:117,HIT,0.893,338.8982,163.6251,2.071
training video 70 11-18.mp4,33149,9:12:483,HIT,0.937,338.8982,163.6251,2.071
training video 70 11-18.mp4,33284,9:14:733,MISS,0.344,383.0052,163.6251,2.341
training video 70 11-18.mp4,33898,9:24:967,HIT,0.46,381.8749,163.6251,2.334
training video 70 11-18.mp4,33943,9:25:717,HIT,0.924,338.9322,163.6251,2.071
training video 70 11-18.mp4,34658,9:37:633,HIT,0.938,585.8039,163.6251,3.58
training video 70 11-18.mp4,35043,9:44:050,HIT,0.806,349.2053,163.6251,2.134
training video 70 11-18.mp4,35153,9:45:883,HIT,0.951,419.7455,163.6251,2.565
training video 70 11-18.mp4,35224,9:47:067,HIT,0.91,374.7116,163.6251,2.29
training video 70 11-18.mp4,36224,10:03:733,HIT,0.813,448.8083,163.6251,2.743
training video 70 11-18.mp4,36310,10:05:167,HIT,0.834,507.8397,163.6251,3.104
training video 70 11-18.mp4,36410,10:06:833,HIT,0.883,484.8761,163.6251,2.963
training video 70 11-18.mp4,37483,10:24:717,HIT,0.854,378.8976,163.6251,2.316
training video 70 11-18.mp4,37702,10:28:367,HIT,0.945,312.9861,163.6251,1.913
training video 70 11-18.mp4,38749,10:45:817,HIT,0.938,307.2011,163.6251,1.877
training video 70 11-18.mp4,39824,11:03:733,HIT,0.919,353.914,163.6251,2.163
training video 70 11-18.mp4,39886,11:04:767,HIT,0.964,384.9366,163.6251,2.353
training video 70 11-18.mp4,40149,11:09:150,HIT,0.93,451.73,163.6251,2.761
